Role,Message
Bot,"Halo, ikhat! Salam kenal, aku Sedulurmu, siap mendengarkan."
Bot,"Halo, aya! Salam kenal, aku Sedulurmu, siap mendengarkan."
User,senang
Bot,Senang mendengar Anda merasa baik! Teruslah bersemangat!
User,saya belum mengerjakan assigment soft skill 3
Bot,"Stres bisa sangat berat. Cobalah teknik 5-4-3-2-1: Sebutkan 5 hal yang Anda lihat, 4 hal yang Anda sentuh, 3 hal yang Anda dengar, 2 hal yang Anda cium, dan 1 hal yang Anda rasakan. Ini bisa membantu menenangkan pikiran."
User,saya belum mengerjakan assigment soft skill 3
Bot,"Stres bisa sangat berat. Cobalah teknik 5-4-3-2-1: Sebutkan 5 hal yang Anda lihat, 4 hal yang Anda sentuh, 3 hal yang Anda dengar, 2 hal yang Anda cium, dan 1 hal yang Anda rasakan. Ini bisa membantu menenangkan pikiran."
User,saya belum mengerjakan assigment soft skill 3
Bot,"Stres bisa sangat berat. Cobalah teknik 5-4-3-2-1: Sebutkan 5 hal yang Anda lihat, 4 hal yang Anda sentuh, 3 hal yang Anda dengar, 2 hal yang Anda cium, dan 1 hal yang Anda rasakan. Ini bisa membantu menenangkan pikiran."
User,saya belum mengerjakan assigment soft skill 3
Bot,"Stres bisa sangat berat. Cobalah teknik 5-4-3-2-1: Sebutkan 5 hal yang Anda lihat, 4 hal yang Anda sentuh, 3 hal yang Anda dengar, 2 hal yang Anda cium, dan 1 hal yang Anda rasakan. Ini bisa membantu menenangkan pikiran."
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
User,ga ngaruh
Bot,"Ada beberapa cara yang bisa membantu meningkatkan kesehatan mental. Apakah Anda ingin tahu tentang terapi, meditasi, atau olahraga?"
